Timestamp,Consumption_kWh
2024-07-01 00:00:00,7.74
2024-07-01 01:00:00,8.58
2024-07-01 02:00:00,8.01
2024-07-01 03:00:00,7.72
2024-07-01 04:00:00,7.12
2024-07-01 05:00:00,8.23
2024-07-01 06:00:00,7.19
2024-07-01 07:00:00,9.46
2024-07-01 08:00:00,9.82
2024-07-01 09:00:00,15.66
2024-07-01 10:00:00,17.5
2024-07-01 11:00:00,16.43
2024-07-01 12:00:00,19.42
2024-07-01 13:00:00,18.22
2024-07-01 14:00:00,19.36
2024-07-01 15:00:00,20.27
2024-07-01 16:00:00,10.41
2024-07-01 17:00:00,16.1
2024-07-01 18:00:00,8.89
2024-07-01 19:00:00,9.35
2024-07-01 20:00:00,9.89
2024-07-01 21:00:00,9.0
2024-07-01 22:00:00,7.31
2024-07-01 23:00:00,8.9
2024-07-02 00:00:00,5.59
2024-07-02 01:00:00,8.2
2024-07-02 02:00:00,5.72
2024-07-02 03:00:00,9.72
2024-07-02 04:00:00,7.61
2024-07-02 05:00:00,7.07
2024-07-02 06:00:00,6.32
2024-07-02 07:00:00,8.87
2024-07-02 08:00:00,7.28
2024-07-02 09:00:00,13.96
2024-07-02 10:00:00,10.52
2024-07-02 11:00:00,15.37
2024-07-02 12:00:00,17.53
2024-07-02 13:00:00,21.45
2024-07-02 14:00:00,16.94
2024-07-02 15:00:00,18.35
2024-07-02 16:00:00,21.09
2024-07-02 17:00:00,18.86
2024-07-02 18:00:00,8.49
2024-07-02 19:00:00,5.3
2024-07-02 20:00:00,8.33
2024-07-02 21:00:00,8.35
2024-07-02 22:00:00,6.05
2024-07-02 23:00:00,5.64
2024-07-03 00:00:00,6.58
2024-07-03 01:00:00,6.82
2024-07-03 02:00:00,7.85
2024-07-03 03:00:00,7.19
2024-07-03 04:00:00,9.94
2024-07-03 05:00:00,5.51
2024-07-03 06:00:00,6.04
2024-07-03 07:00:00,5.81
2024-07-03 08:00:00,8.27
2024-07-03 09:00:00,19.25
2024-07-03 10:00:00,17.84
2024-07-03 11:00:00,21.03
2024-07-03 12:00:00,16.68
2024-07-03 13:00:00,11.01
2024-07-03 14:00:00,15.26
2024-07-03 15:00:00,14.74
2024-07-03 16:00:00,17.0
2024-07-03 17:00:00,19.56
2024-07-03 18:00:00,9.1
2024-07-03 19:00:00,5.49
2024-07-03 20:00:00,9.19
2024-07-03 21:00:00,5.48
2024-07-03 22:00:00,9.88
2024-07-03 23:00:00,7.34
2024-07-04 00:00:00,9.88
2024-07-04 01:00:00,8.02
2024-07-04 02:00:00,8.7
2024-07-04 03:00:00,5.2
2024-07-04 04:00:00,6.41
2024-07-04 05:00:00,5.6
2024-07-04 06:00:00,6.48
2024-07-04 07:00:00,5.59
2024-07-04 08:00:00,6.59
2024-07-04 09:00:00,16.2
2024-07-04 10:00:00,17.42
2024-07-04 11:00:00,21.36
2024-07-04 12:00:00,16.01
2024-07-04 13:00:00,21.12
2024-07-04 14:00:00,19.11
2024-07-04 15:00:00,19.28
2024-07-04 16:00:00,18.44
2024-07-04 17:00:00,22.06
2024-07-04 18:00:00,6.59
2024-07-04 19:00:00,8.34
2024-07-04 20:00:00,5.66
2024-07-04 21:00:00,8.58
2024-07-04 22:00:00,6.45
2024-07-04 23:00:00,5.92
2024-07-05 00:00:00,7.93
2024-07-05 01:00:00,5.1
2024-07-05 02:00:00,9.14
2024-07-05 03:00:00,5.02
2024-07-05 04:00:00,8.39
2024-07-05 05:00:00,6.35
2024-07-05 06:00:00,8.68
2024-07-05 07:00:00,9.81
2024-07-05 08:00:00,6.24
2024-07-05 09:00:00,20.59
2024-07-05 10:00:00,22.04
2024-07-05 11:00:00,14.36
2024-07-05 12:00:00,16.7
2024-07-05 13:00:00,19.05
2024-07-05 14:00:00,21.47
2024-07-05 15:00:00,15.28
2024-07-05 16:00:00,23.32
2024-07-05 17:00:00,20.24
2024-07-05 18:00:00,9.07
2024-07-05 19:00:00,6.98
2024-07-05 20:00:00,9.41
2024-07-05 21:00:00,7.91
2024-07-05 22:00:00,9.41
2024-07-05 23:00:00,8.46
2024-07-06 00:00:00,8.63
2024-07-06 01:00:00,7.51
2024-07-06 02:00:00,9.78
2024-07-06 03:00:00,8.22
2024-07-06 04:00:00,7.12
2024-07-06 05:00:00,8.03
2024-07-06 06:00:00,5.1
2024-07-06 07:00:00,6.51
2024-07-06 08:00:00,8.3
2024-07-06 09:00:00,12.19
2024-07-06 10:00:00,18.0
2024-07-06 11:00:00,19.32
2024-07-06 12:00:00,18.06
2024-07-06 13:00:00,20.56
2024-07-06 14:00:00,20.85
2024-07-06 15:00:00,16.06
2024-07-06 16:00:00,17.86
2024-07-06 17:00:00,20.28
2024-07-06 18:00:00,8.26
2024-07-06 19:00:00,7.16
2024-07-06 20:00:00,9.48
2024-07-06 21:00:00,6.84
2024-07-06 22:00:00,7.18
2024-07-06 23:00:00,9.46
2024-07-07 00:00:00,9.03
2024-07-07 01:00:00,8.52
2024-07-07 02:00:00,5.5
2024-07-07 03:00:00,9.6
2024-07-07 04:00:00,8.57
