Timestamp,Consumption_kWh
2024-07-01 00:00:00,7.18
2024-07-01 01:00:00,5.13
2024-07-01 02:00:00,7.75
2024-07-01 03:00:00,7.18
2024-07-01 04:00:00,7.1
2024-07-01 05:00:00,6.65
2024-07-01 06:00:00,6.02
2024-07-01 07:00:00,8.1
2024-07-01 08:00:00,6.5
2024-07-01 09:00:00,15.89
2024-07-01 10:00:00,21.13
2024-07-01 11:00:00,21.11
2024-07-01 12:00:00,17.28
2024-07-01 13:00:00,20.76
2024-07-01 14:00:00,18.82
2024-07-01 15:00:00,19.72
2024-07-01 16:00:00,17.54
2024-07-01 17:00:00,16.59
2024-07-01 18:00:00,9.23
2024-07-01 19:00:00,5.4
2024-07-01 20:00:00,7.53
2024-07-01 21:00:00,5.33
2024-07-01 22:00:00,7.14
2024-07-01 23:00:00,5.48
2024-07-02 00:00:00,5.64
2024-07-02 01:00:00,7.98
2024-07-02 02:00:00,6.13
2024-07-02 03:00:00,5.53
2024-07-02 04:00:00,6.1
2024-07-02 05:00:00,6.75
2024-07-02 06:00:00,7.34
2024-07-02 07:00:00,6.01
2024-07-02 08:00:00,8.2
2024-07-02 09:00:00,15.45
2024-07-02 10:00:00,17.37
2024-07-02 11:00:00,15.96
2024-07-02 12:00:00,17.29
2024-07-02 13:00:00,14.02
2024-07-02 14:00:00,14.95
2024-07-02 15:00:00,14.9
2024-07-02 16:00:00,18.46
2024-07-02 17:00:00,13.58
2024-07-02 18:00:00,9.45
2024-07-02 19:00:00,6.71
2024-07-02 20:00:00,7.84
2024-07-02 21:00:00,7.14
2024-07-02 22:00:00,7.18
2024-07-02 23:00:00,8.88
2024-07-03 00:00:00,7.68
2024-07-03 01:00:00,9.77
2024-07-03 02:00:00,7.72
2024-07-03 03:00:00,5.41
2024-07-03 04:00:00,6.83
2024-07-03 05:00:00,9.25
2024-07-03 06:00:00,7.03
2024-07-03 07:00:00,5.14
2024-07-03 08:00:00,6.24
2024-07-03 09:00:00,14.17
2024-07-03 10:00:00,20.35
2024-07-03 11:00:00,15.6
2024-07-03 12:00:00,16.57
2024-07-03 13:00:00,17.27
2024-07-03 14:00:00,16.55
2024-07-03 15:00:00,16.48
2024-07-03 16:00:00,19.58
2024-07-03 17:00:00,20.45
2024-07-03 18:00:00,6.78
2024-07-03 19:00:00,5.23
2024-07-03 20:00:00,9.92
2024-07-03 21:00:00,7.21
2024-07-03 22:00:00,7.52
2024-07-03 23:00:00,6.62
2024-07-04 00:00:00,6.3
2024-07-04 01:00:00,6.93
2024-07-04 02:00:00,9.16
2024-07-04 03:00:00,8.68
2024-07-04 04:00:00,6.9
2024-07-04 05:00:00,5.07
2024-07-04 06:00:00,8.99
2024-07-04 07:00:00,6.35
2024-07-04 08:00:00,7.91
2024-07-04 09:00:00,12.21
2024-07-04 10:00:00,15.3
2024-07-04 11:00:00,17.52
2024-07-04 12:00:00,16.15
2024-07-04 13:00:00,12.54
2024-07-04 14:00:00,14.07
2024-07-04 15:00:00,22.4
2024-07-04 16:00:00,24.57
2024-07-04 17:00:00,14.13
2024-07-04 18:00:00,6.57
2024-07-04 19:00:00,5.21
2024-07-04 20:00:00,8.69
2024-07-04 21:00:00,8.29
2024-07-04 22:00:00,6.07
2024-07-04 23:00:00,7.08
2024-07-05 00:00:00,8.22
2024-07-05 01:00:00,8.31
2024-07-05 02:00:00,5.85
2024-07-05 03:00:00,9.41
2024-07-05 04:00:00,8.89
2024-07-05 05:00:00,5.67
2024-07-05 06:00:00,9.34
2024-07-05 07:00:00,8.74
2024-07-05 08:00:00,8.99
2024-07-05 09:00:00,13.13
2024-07-05 10:00:00,19.1
2024-07-05 11:00:00,17.4
2024-07-05 12:00:00,13.48
2024-07-05 13:00:00,14.18
2024-07-05 14:00:00,12.84
2024-07-05 15:00:00,23.67
2024-07-05 16:00:00,14.05
2024-07-05 17:00:00,20.19
2024-07-05 18:00:00,8.04
2024-07-05 19:00:00,9.13
2024-07-05 20:00:00,8.12
2024-07-05 21:00:00,5.88
2024-07-05 22:00:00,7.96
2024-07-05 23:00:00,7.45
2024-07-06 00:00:00,7.74
2024-07-06 01:00:00,8.5
2024-07-06 02:00:00,6.23
2024-07-06 03:00:00,5.93
2024-07-06 04:00:00,5.55
2024-07-06 05:00:00,6.37
2024-07-06 06:00:00,5.05
2024-07-06 07:00:00,8.15
2024-07-06 08:00:00,6.48
2024-07-06 09:00:00,12.35
2024-07-06 10:00:00,11.24
2024-07-06 11:00:00,15.13
2024-07-06 12:00:00,17.18
2024-07-06 13:00:00,16.74
2024-07-06 14:00:00,20.77
2024-07-06 15:00:00,17.11
2024-07-06 16:00:00,20.34
2024-07-06 17:00:00,15.54
2024-07-06 18:00:00,5.24
2024-07-06 19:00:00,6.16
2024-07-06 20:00:00,8.22
2024-07-06 21:00:00,5.81
2024-07-06 22:00:00,9.35
2024-07-06 23:00:00,6.09
2024-07-07 00:00:00,8.71
2024-07-07 01:00:00,8.27
2024-07-07 02:00:00,8.99
2024-07-07 03:00:00,5.16
2024-07-07 04:00:00,6.15
2024-07-07 05:00:00,8.52
2024-07-07 06:00:00,5.44
2024-07-07 07:00:00,5.15
2024-07-07 08:00:00,6.79
2024-07-07 09:00:00,20.4
2024-07-07 10:00:00,17.21
2024-07-07 11:00:00,18.45
2024-07-07 12:00:00,11.26
2024-07-07 13:00:00,16.6
2024-07-07 14:00:00,19.88
2024-07-07 15:00:00,11.07
2024-07-07 16:00:00,22.89
2024-07-07 17:00:00,20.37
2024-07-07 18:00:00,8.1
2024-07-07 19:00:00,6.45
2024-07-07 20:00:00,8.08
2024-07-07 21:00:00,9.77
2024-07-07 22:00:00,7.24
2024-07-07 23:00:00,6.04
2024-07-08 00:00:00,7.13
2024-07-08 01:00:00,7.22
2024-07-08 02:00:00,7.54
2024-07-08 03:00:00,7.63
2024-07-08 04:00:00,5.21
2024-07-08 05:00:00,5.82
2024-07-08 06:00:00,7.25
2024-07-08 07:00:00,8.54
2024-07-08 08:00:00,8.89
2024-07-08 09:00:00,19.02
2024-07-08 10:00:00,15.97
2024-07-08 11:00:00,22.07
2024-07-08 12:00:00,20.56
2024-07-08 13:00:00,17.35
2024-07-08 14:00:00,22.59
2024-07-08 15:00:00,15.77
2024-07-08 16:00:00,15.38
2024-07-08 17:00:00,21.42
2024-07-08 18:00:00,7.22
2024-07-08 19:00:00,8.58
2024-07-08 20:00:00,5.04
2024-07-08 21:00:00,5.13
2024-07-08 22:00:00,9.7
2024-07-08 23:00:00,5.51
2024-07-09 00:00:00,8.31
2024-07-09 01:00:00,6.42
2024-07-09 02:00:00,6.0
2024-07-09 03:00:00,6.94
2024-07-09 04:00:00,9.63
2024-07-09 05:00:00,7.85
2024-07-09 06:00:00,9.58
2024-07-09 07:00:00,8.51
2024-07-09 08:00:00,7.51
2024-07-09 09:00:00,16.13
2024-07-09 10:00:00,16.32
2024-07-09 11:00:00,16.57
2024-07-09 12:00:00,17.98
2024-07-09 13:00:00,17.1
2024-07-09 14:00:00,15.79
2024-07-09 15:00:00,17.5
2024-07-09 16:00:00,16.48
2024-07-09 17:00:00,22.76
2024-07-09 18:00:00,9.71
2024-07-09 19:00:00,9.08
2024-07-09 20:00:00,5.66
2024-07-09 21:00:00,6.73
2024-07-09 22:00:00,6.04
2024-07-09 23:00:00,9.34
2024-07-10 00:00:00,8.96
2024-07-10 01:00:00,6.75
2024-07-10 02:00:00,7.85
2024-07-10 03:00:00,9.03
2024-07-10 04:00:00,9.17
2024-07-10 05:00:00,6.03
2024-07-10 06:00:00,8.65
