timestamp,kwh,building
2024-07-01 00:00:00,7.74,Building_A_07_2024
2024-07-01 01:00:00,8.58,Building_A_07_2024
2024-07-01 02:00:00,8.01,Building_A_07_2024
2024-07-01 03:00:00,7.72,Building_A_07_2024
2024-07-01 04:00:00,7.12,Building_A_07_2024
2024-07-01 05:00:00,8.23,Building_A_07_2024
2024-07-01 06:00:00,7.19,Building_A_07_2024
2024-07-01 07:00:00,9.46,Building_A_07_2024
2024-07-01 08:00:00,9.82,Building_A_07_2024
2024-07-01 09:00:00,15.66,Building_A_07_2024
2024-07-01 10:00:00,17.5,Building_A_07_2024
2024-07-01 11:00:00,16.43,Building_A_07_2024
2024-07-01 12:00:00,19.42,Building_A_07_2024
2024-07-01 13:00:00,18.22,Building_A_07_2024
2024-07-01 14:00:00,19.36,Building_A_07_2024
2024-07-01 15:00:00,20.27,Building_A_07_2024
2024-07-01 16:00:00,10.41,Building_A_07_2024
2024-07-01 17:00:00,16.1,Building_A_07_2024
2024-07-01 18:00:00,8.89,Building_A_07_2024
2024-07-01 19:00:00,9.35,Building_A_07_2024
2024-07-01 20:00:00,9.89,Building_A_07_2024
2024-07-01 21:00:00,9.0,Building_A_07_2024
2024-07-01 22:00:00,7.31,Building_A_07_2024
2024-07-01 23:00:00,8.9,Building_A_07_2024
2024-07-02 00:00:00,5.59,Building_A_07_2024
2024-07-02 01:00:00,8.2,Building_A_07_2024
2024-07-02 02:00:00,5.72,Building_A_07_2024
2024-07-02 03:00:00,9.72,Building_A_07_2024
2024-07-02 04:00:00,7.61,Building_A_07_2024
2024-07-02 05:00:00,7.07,Building_A_07_2024
2024-07-02 06:00:00,6.32,Building_A_07_2024
2024-07-02 07:00:00,8.87,Building_A_07_2024
2024-07-02 08:00:00,7.28,Building_A_07_2024
2024-07-02 09:00:00,13.96,Building_A_07_2024
2024-07-02 10:00:00,10.52,Building_A_07_2024
2024-07-02 11:00:00,15.37,Building_A_07_2024
2024-07-02 12:00:00,17.53,Building_A_07_2024
2024-07-02 13:00:00,21.45,Building_A_07_2024
2024-07-02 14:00:00,16.94,Building_A_07_2024
2024-07-02 15:00:00,18.35,Building_A_07_2024
2024-07-02 16:00:00,21.09,Building_A_07_2024
2024-07-02 17:00:00,18.86,Building_A_07_2024
2024-07-02 18:00:00,8.49,Building_A_07_2024
2024-07-02 19:00:00,5.3,Building_A_07_2024
2024-07-02 20:00:00,8.33,Building_A_07_2024
2024-07-02 21:00:00,8.35,Building_A_07_2024
2024-07-02 22:00:00,6.05,Building_A_07_2024
2024-07-02 23:00:00,5.64,Building_A_07_2024
2024-07-03 00:00:00,6.58,Building_A_07_2024
2024-07-03 01:00:00,6.82,Building_A_07_2024
2024-07-03 02:00:00,7.85,Building_A_07_2024
2024-07-03 03:00:00,7.19,Building_A_07_2024
